epoch: 0, loss: 1.271 lr: 0.1
epoch: 100, loss: 0.898 lr: 0.09990109791306606
epoch: 200, loss: 0.890 lr: 0.09980139522350523
epoch: 300, loss: 0.838 lr: 0.09970189134487882
epoch: 400, loss: 0.294 lr: 0.09960258568312436
epoch: 500, loss: 0.125 lr: 0.09950347764654374
epoch: 600, loss: 0.125 lr: 0.09940456664579173
epoch: 700, loss: 0.124 lr: 0.09930585209386389
epoch: 800, loss: 0.124 lr: 0.0992073334060854
epoch: 900, loss: 0.124 lr: 0.09910901000009911
epoch: 1000, loss: 0.124 lr: 0.09901088129585443
epoch: 1100, loss: 0.124 lr: 0.0989129467155956
epoch: 1200, loss: 0.124 lr: 0.09881520568385065
epoch: 1300, loss: 0.123 lr: 0.09871765762741981
epoch: 1400, loss: 0.123 lr: 0.09862030197536466
epoch: 1500, loss: 0.123 lr: 0.09852313815899665
epoch: 1600, loss: 0.123 lr: 0.09842616561186628
epoch: 1700, loss: 0.123 lr: 0.09832938376975192
epoch: 1800, loss: 0.123 lr: 0.09823279207064904
epoch: 1900, loss: 0.123 lr: 0.09813638995475912
epoch: 2000, loss: 0.123 lr: 0.09804017686447908
epoch: 2100, loss: 0.123 lr: 0.09794415224439025
epoch: 2200, loss: 0.123 lr: 0.09784831554124797
epoch: 2300, loss: 0.123 lr: 0.09775266620397072
epoch: 2400, loss: 0.123 lr: 0.09765720368362973
epoch: 2500, loss: 0.123 lr: 0.09756192743343838
epoch: 2600, loss: 0.123 lr: 0.0974668369087418
epoch: 2700, loss: 0.123 lr: 0.09737193156700649
epoch: 2800, loss: 0.123 lr: 0.09727721086781001
epoch: 2900, loss: 0.122 lr: 0.09718267427283064
epoch: 3000, loss: 0.122 lr: 0.09708832124583734
epoch: 3100, loss: 0.122 lr: 0.09699415125267946
epoch: 3200, loss: 0.122 lr: 0.09690016376127676
epoch: 3300, loss: 0.122 lr: 0.09680635824160931
epoch: 3400, loss: 0.122 lr: 0.09671273416570761
epoch: 3500, loss: 0.122 lr: 0.09661929100764259
epoch: 3600, loss: 0.122 lr: 0.09652602824351587
epoch: 3700, loss: 0.122 lr: 0.09643294535144986
epoch: 3800, loss: 0.122 lr: 0.09634004181157815
epoch: 3900, loss: 0.122 lr: 0.09624731710603567
epoch: 4000, loss: 0.122 lr: 0.09615477071894923
epoch: 4100, loss: 0.122 lr: 0.09606240213642782
epoch: 4200, loss: 0.122 lr: 0.09597021084655323
epoch: 4300, loss: 0.122 lr: 0.09587819633937046
epoch: 4400, loss: 0.122 lr: 0.09578635810687842
epoch: 4500, loss: 0.122 lr: 0.09569469564302051
epoch: 4600, loss: 0.122 lr: 0.09560320844367537
epoch: 4700, loss: 0.122 lr: 0.09551189600664763
epoch: 4800, loss: 0.122 lr: 0.09542075783165871
epoch: 4900, loss: 0.122 lr: 0.09532979342033765
--- 12.41968297958374 seconds ---
